,"JJAS
(Monsoon)","DJF
(Winter)","MAM
(Pre-Monsoon)","SON
(Post-Monsoon)"
tp,48.81809293961986,24.136538776500053,26.900240502000845,26.29758070271998
cdir,7.436996119820176,24.17157425371036,5.9365568525613766,25.963172709820025
month_sin,10.653644715571419,8.647903378451206,23.909374655212172,7.398761138699197
sin_lon,11.584129650219207,10.224263265636,13.221369628613486,11.252648831817089
sin_lat,7.637267788925096,14.689330666259442,12.03976152016995,9.841806842552838
t2m,5.634500528692589,8.35580049190594,9.04045130019732,6.821342625569235
e,4.797719648019318,7.694265213633058,6.811115470713398,8.96966365740887
ro,3.437648609132339,2.0803239539039513,2.14113007053144,3.4550234914127618
